sender_id,receiver_id,timestamp,rssi
36,2,0.566,-86
36,6,0.706,-88
36,17,0.804,-93
36,21,0.103,-95
36,26,0.093,-77
36,31,0.422,-73
40,18,0.641,-97
40,24,0.828,-75
40,32,0.801,-69
40,33,0.97,-85
40,37,0.505,-92
33,8,0.619,-99
33,28,0.672,-95
33,32,0.846,-82
33,37,0.55,-85
33,40,1.067,-89
17,2,0.774,-95
17,20,0.952,-80
17,21,0.311,-70
17,22,0.876,-89
17,26,0.301,-85
17,31,0.63,-86
17,36,1.249,-88
12,18,0.749,-88
12,21,0.374,-94
12,24,0.936,-94
12,32,0.909,-93
12,33,1.078,-97
12,40,1.13,-93
20,1,1.099,-99
20,17,1.084,-83
20,21,0.383,-88
20,22,0.948,-78
20,26,0.373,-89
20,31,0.702,-96
35,11,0.895,-90
35,16,1.128,-89
35,39,0.549,-86
13,5,0.514,-83
13,7,0.748,-78
13,25,1.071,-94
22,17,1.176,-91
22,20,1.116,-85
22,21,0.475,-91
29,23,1.055,-84
29,34,0.757,-77
9,3,0.949,-63
31,1,1.425,-98
31,2,1.172,-86
31,6,1.312,-94
31,17,1.41,-90
31,20,1.35,-93
31,21,0.709,-83
31,26,0.699,-83
31,36,1.647,-78
14,13,1.418,-86
41,4,1.829,-95
41,8,1.218,-89
41,12,1.562,-90
41,26,0.9,-100
41,38,0.957,-76
21,17,1.722,-71
21,20,1.662,-87
21,26,1.011,-83
21,36,1.959,-86
38,4,2.576,-87
38,8,1.965,-81
4,8,2.007,-96
4,15,2.532,-100
4,23,2.236,-87
4,38,1.746,-90
26,17,2.463,-81
26,20,2.403,-87
26,21,1.762,-83
26,31,2.081,-80
26,36,2.7,-81
8,12,2.537,-94
8,18,2.26,-92
8,38,1.932,-86
12,17,2.648,-98
12,18,2.322,-85
12,21,1.947,-85
12,32,2.482,-89
12,33,2.651,-89
12,40,2.703,-86
17,26,2.239,-84
20,6,2.901,-97
20,17,2.999,-84
20,21,2.298,-89
20,22,2.863,-95
20,31,2.617,-90
17,4,3.261,-100
17,10,2.461,-97
17,20,2.983,-88
17,21,2.342,-74
17,22,2.907,-90
17,26,2.332,-74
17,31,2.661,-78
17,36,3.28,-91
21,12,3.026,-96
21,17,3.075,-73
21,20,3.015,-84
21,22,2.939,-91
21,26,2.364,-73
21,31,2.693,-89
21,36,3.312,-89
15,30,2.501,-89
15,34,2.711,-99
41,4,3.434,-89
41,8,2.823,-88
41,17,3.216,-98
41,23,3.052,-95
41,38,2.562,-76
33,19,3.335,-92
33,24,3.097,-86
33,28,2.896,-93
33,32,3.07,-89
33,37,2.774,-90
33,40,3.291,-85
40,12,3.281,-94
31,26,2.626,-80
23,27,3.319,-89
23,29,3.205,-79
23,34,2.953,-88
36,1,3.456,-89
36,2,3.203,-94
36,6,3.343,-91
36,12,3.392,-95
36,17,3.441,-83
36,20,3.381,-95
36,21,2.74,-87
36,26,2.73,-84
36,31,3.059,-74
31,1,3.508,-89
31,2,3.255,-86
31,3,3.054,-90
31,6,3.395,-94
31,17,3.493,-83
31,20,3.433,-98
31,21,2.792,-84
31,26,2.782,-81
31,36,3.73,-71
31,40,3.548,-98
18,8,3.126,-86
18,12,3.47,-91
18,35,3.372,-94
18,38,2.865,-98
18,39,2.91,-84
40,24,3.415,-70
40,28,3.214,-96
40,31,3.172,-96
40,32,3.388,-75
40,33,3.557,-86
40,37,3.092,-90
20,26,2.85,-89
22,17,3.598,-90
22,20,3.538,-90
22,21,2.897,-94
22,36,3.835,-98
32,12,3.582,-94
32,24,3.492,-71
32,33,3.634,-83
32,40,3.686,-67
6,1,3.673,-78
6,2,3.42,-79
6,31,3.276,-90
6,36,3.895,-83
10,7,3.384,-94
30,15,3.987,-87
30,29,3.645,-87
28,11,3.617,-88
28,19,3.979,-76
28,35,3.733,-90
28,37,3.418,-84
28,39,3.271,-98
19,11,3.724,-87
19,18,3.661,-96
19,24,3.848,-97
19,28,3.647,-76
19,35,3.84,-92
19,37,3.525,-73
19,39,3.378,-95
19,40,4.042,-95
21,26,3.299,-73
3,1,4.074,-90
3,2,3.821,-91
3,9,3.704,-73
38,4,4.288,-88
35,11,3.833,-83
35,16,4.066,-86
35,18,3.77,-93
35,19,4.195,-87
35,28,3.756,-91
35,37,3.634,-87
35,39,3.487,-90
4,8,3.723,-91
4,29,3.906,-90
4,38,3.462,-90
19,33,4.211,-86
24,32,4.049,-69
24,33,4.218,-76
24,40,4.27,-61
22,20,4.156,-91
34,23,4.067,-80
34,29,4.021,-73
34,30,3.559,-95
39,16,4.205,-90
39,18,3.909,-84
39,35,4.088,-89
39,37,3.773,-91
1,2,4.048,-69
1,3,3.847,-93
1,6,4.188,-82
1,9,3.931,-93
1,21,3.585,-89
1,36,4.523,-88
37,8,3.9,-100
37,19,4.392,-80
37,28,3.953,-90
37,33,4.296,-88
37,35,4.146,-89
37,39,3.684,-92
8,18,4.042,-89
8,38,3.714,-82
28,33,4.372,-94
29,4,4.588,-93
29,34,3.908,-81
27,5,3.715,-93
27,25,4.272,-72
19,33,4.425,-93
26,17,4.464,-79
26,20,4.404,-85
26,21,3.763,-77
26,31,4.082,-83
12,8,4.071,-97
12,18,4.138,-85
12,33,4.467,-91
2,1,4.501,-72
2,3,4.047,-86
2,6,4.388,-80
2,17,4.486,-92
2,26,3.775,-90
2,31,4.104,-85
2,36,4.723,-92
30,15,4.642,-91
7,13,4.383,-83
7,14,3.986,-93
7,25,4.424,-99
7,27,4.426,-100
31,26,3.93,-79
20,17,4.731,-84
20,21,4.03,-85
20,22,4.595,-94
20,26,4.02,-89
20,31,4.349,-95
35,18,4.419,-89
32,24,4.655,-64
32,33,4.797,-84
32,37,4.332,-97
32,40,4.849,-72
17,20,4.816,-82
17,21,4.175,-81
17,26,4.165,-82
17,31,4.494,-85
17,36,5.113,-89
11,16,4.857,-90
11,35,4.74,-81
36,1,4.913,-92
36,17,4.898,-88
36,21,4.197,-87
36,26,4.187,-86
36,31,4.516,-76
26,17,4.907,-77
9,1,4.945,-94
9,3,4.491,-72
9,6,4.832,-95
9,17,4.93,-96
25,5,4.343,-89
25,13,4.859,-90
25,23,4.834,-91
25,27,4.902,-73
21,3,4.603,-98
21,9,4.687,-100
21,17,5.042,-74
21,20,4.982,-80
21,26,4.331,-72
21,31,4.66,-86
21,36,5.279,-93
16,11,4.783,-89
16,35,4.899,-86
20,26,4.366,-87
26,20,5.059,-90
31,1,5.261,-88
31,2,5.008,-86
31,9,4.891,-98
31,17,5.246,-90
31,26,4.535,-81
31,36,5.483,-75
5,7,4.827,-87
5,10,4.666,-99
5,13,5.109,-86
5,27,5.152,-91
13,5,4.613,-86
13,7,4.847,-86
13,14,4.732,-89
13,25,5.17,-88
37,33,5.279,-83
6,1,5.294,-74
6,2,5.041,-80
6,36,5.516,-88
23,29,5.103,-71
23,34,4.851,-83
14,5,4.68,-87
2,36,5.588,-87
29,4,5.598,-93
19,33,5.392,-90
33,12,5.352,-91
22,36,5.671,-91
21,26,4.726,-74
33,37,5.032,-85
33,40,5.549,-81
11,28,5.177,-89
10,14,4.983,-93
30,29,5.313,-94
30,34,5.061,-91
18,8,5.156,-84
18,12,5.5,-88
18,19,5.648,-94
18,32,5.383,-93
18,33,5.552,-87
18,37,5.087,-92
18,38,4.895,-96
18,39,4.94,-88
37,11,5.303,-91
37,12,5.517,-95
37,19,5.665,-81
37,28,5.226,-84
37,33,5.569,-88
37,35,5.419,-87
37,39,4.957,-97
34,4,5.849,-96
34,23,5.467,-78
34,29,5.421,-72
34,38,4.977,-96
2,1,5.665,-70
2,3,5.211,-89
2,6,5.552,-72
2,26,4.939,-96
2,31,5.268,-86
2,36,5.887,-90
24,33,5.674,-85
3,31,5.38,-91
40,12,5.72,-88
40,19,5.868,-96
40,24,5.63,-67
40,31,5.387,-100
40,32,5.603,-70
40,33,5.772,-85
40,36,6.006,-99
40,37,5.307,-94
20,4,5.994,-97
20,17,5.776,-82
20,21,5.075,-84
20,22,5.64,-91
20,26,5.065,-89
20,36,6.013,-97
16,35,5.633,-91
1,2,5.545,-73
1,6,5.685,-78
1,9,5.428,-94
1,22,5.647,-96
1,33,5.786,-100
1,36,6.02,-89
28,19,5.898,-80
28,35,5.652,-92
28,37,5.337,-79
31,26,5.09,-79
18,8,5.42,-84
19,11,5.555,-90
19,24,5.679,-97
19,28,5.478,-82
19,33,5.821,-85
19,37,5.356,-74
19,39,5.209,-92
19,40,5.873,-94
1,36,6.064,-97
26,31,5.458,-79
41,4,6.076,-90
41,8,5.465,-90
41,18,5.532,-91
41,38,5.204,-78
41,40,5.913,-93
39,18,5.537,-97
35,11,5.635,-79
35,16,5.868,-90
35,19,5.997,-87
35,28,5.558,-94
35,37,5.436,-96
35,39,5.289,-82
14,10,5.368,-95
7,13,5.817,-84
39,11,5.701,-97
39,16,5.934,-96
39,18,5.638,-90
39,28,5.624,-94
39,35,5.817,-83
39,37,5.502,-92
30,15,6.103,-91
39,18,5.664,-85
12,8,5.614,-92
3,6,5.952,-92
3,9,5.695,-75
27,23,5.923,-86
27,25,5.989,-75
27,34,5.625,-89
29,23,5.971,-78
29,25,6.037,-98
29,34,5.673,-75
24,33,6.171,-87
21,26,5.46,-81
26,21,5.495,-75
35,18,5.89,-96
24,32,6.119,-60
24,33,6.288,-95
24,40,6.34,-69
16,11,6.058,-88
16,35,6.174,-89
16,39,5.712,-91
27,23,6.195,-86
35,18,6.046,-99
7,10,5.805,-91
32,12,6.358,-91
9,2,6.19,-90
9,3,5.989,-69
9,6,6.33,-94
31,1,6.501,-88
31,2,6.248,-87
31,6,6.388,-95
31,20,6.426,-95
31,21,5.785,-92
31,26,5.775,-84
31,36,6.723,-79
18,8,6.111,-84
18,33,6.507,-91
18,35,6.357,-95
18,38,5.85,-91
18,39,5.895,-87
15,30,5.877,-92
11,16,6.529,-88
11,19,6.658,-90
11,35,6.412,-84
11,37,6.097,-91
16,35,6.445,-91
22,14,6.096,-92
22,17,6.632,-88
35,28,6.315,-94
40,12,6.626,-95
40,21,5.974,-98
40,24,6.536,-68
40,32,6.509,-66
40,33,6.678,-87
40,37,6.213,-94
33,18,6.422,-91
30,34,6.293,-92
6,36,7.017,-88
32,12,6.823,-92
25,7,6.461,-95
25,13,6.743,-92
25,27,6.786,-72
39,37,6.42,-85
14,10,6.307,-99
24,33,6.961,-89
25,27,6.876,-68
33,24,6.836,-85
7,5,6.341,-87
36,26,6.289,-90
1,36,7.254,-94
