sender_id,receiver_id,timestamp,rssi
12,2,0.624,-85
12,9,0.162,-89
12,20,0.117,-81
34,15,0.959,-86
34,32,0.295,-78
34,37,0.824,-90
34,38,0.964,-100
34,39,0.422,-89
25,6,0.543,-85
25,11,0.526,-82
25,13,0.569,-93
25,16,0.407,-82
25,19,0.722,-87
25,22,0.969,-86
25,23,0.476,-94
41,13,0.573,-90
41,21,0.624,-79
41,26,0.496,-84
41,31,0.596,-91
41,32,0.403,-96
41,35,1.078,-91
41,40,0.972,-79
19,6,0.847,-82
19,10,1.21,-90
19,11,0.83,-74
19,13,0.873,-87
19,16,0.711,-69
19,22,1.273,-88
19,23,0.78,-100
19,25,1.326,-86
19,36,1.251,-94
5,3,1.398,-88
5,7,0.896,-87
5,23,0.813,-58
5,26,0.829,-97
5,33,0.882,-95
5,35,1.411,-93
6,10,1.391,-92
6,11,1.011,-73
6,16,0.892,-92
6,19,1.207,-81
6,25,1.507,-83
39,15,1.559,-84
39,32,0.895,-79
39,34,1.629,-94
39,37,1.424,-77
39,38,1.564,-95
14,4,0.752,-89
14,15,1.605,-82
14,24,0.941,-86
14,32,0.941,-97
14,37,1.47,-90
14,39,1.068,-93
21,1,1.406,-99
21,9,0.869,-91
21,29,0.981,-90
21,34,1.725,-100
21,40,1.56,-73
32,14,1.109,-95
32,15,1.698,-84
32,34,1.768,-80
32,37,1.563,-89
32,38,1.703,-92
32,39,1.161,-82
35,3,1.699,-77
35,5,1.321,-87
35,7,1.197,-95
35,26,1.13,-94
35,31,1.23,-85
8,1,1.466,-86
8,18,0.883,-75
8,30,0.835,-97
20,2,1.525,-91
20,9,1.063,-84
20,12,1.929,-82
20,30,0.969,-91
4,14,1.295,-88
4,24,1.22,-62
4,37,1.749,-91
13,6,1.4,-97
13,10,1.763,-86
13,11,1.383,-90
13,16,1.264,-85
13,19,1.579,-86
13,22,1.826,-79
13,25,1.879,-89
13,26,1.349,-86
13,36,1.804,-90
13,40,1.825,-96
31,3,2.011,-85
31,7,1.509,-87
31,21,1.57,-95
31,35,2.024,-81
40,10,1.864,-91
40,16,1.365,-97
40,21,1.578,-76
40,26,1.45,-84
40,29,1.347,-83
40,36,1.905,-88
26,19,1.745,-91
26,21,1.643,-87
26,25,2.045,-100
26,29,1.412,-90
26,35,2.097,-87
26,40,1.991,-91
7,35,2.152,-89
15,32,1.6,-82
15,34,2.334,-87
15,37,2.129,-90
15,39,1.727,-87
3,5,1.92,-81
3,7,1.796,-87
3,23,1.713,-83
3,26,1.729,-88
3,31,1.829,-88
3,35,2.311,-87
38,39,1.789,-87
7,3,2.335,-87
7,25,2.296,-95
7,31,1.866,-93
29,2,2.054,-94
29,9,1.592,-84
29,19,2.037,-96
29,20,1.547,-91
29,21,1.935,-87
29,26,1.807,-92
29,30,1.498,-88
29,36,2.262,-93
29,40,2.283,-88
14,4,1.525,-85
14,15,2.378,-90
14,24,1.714,-85
14,38,2.383,-96
