sender_id,receiver_id,timestamp,rssi
41,24,0.071,-91
41,30,0.357,-91
41,34,0.2,-80
41,37,0.086,-85
41,38,0.842,-77
17,2,0.758,-83
17,3,0.623,-95
17,4,0.753,-87
17,9,0.464,-95
17,11,0.702,-86
17,18,0.709,-90
39,19,0.578,-97
39,25,0.587,-88
39,28,0.818,-77
12,9,0.536,-88
12,23,0.232,-90
12,27,0.756,-94
12,30,0.581,-91
12,35,0.453,-90
12,36,0.901,-85
10,19,0.707,-91
10,28,0.947,-92
10,34,0.495,-92
10,38,1.137,-94
31,14,0.601,-95
31,16,0.679,-90
31,19,0.753,-91
31,28,0.993,-97
4,2,1.044,-82
4,11,0.988,-91
4,17,1.311,-86
4,18,0.995,-77
22,13,0.64,-93
22,15,0.995,-91
22,20,0.746,-88
22,25,0.867,-91
22,38,1.288,-93
22,39,1.298,-92
6,7,1.185,-88
6,21,0.688,-93
6,33,1.057,-77
27,23,0.51,-89
27,24,0.573,-68
27,30,0.859,-76
27,37,0.588,-89
27,38,1.344,-97
27,40,0.453,-82
29,5,0.694,-91
29,21,0.733,-90
29,22,1.105,-96
29,27,1.059,-100
29,33,1.102,-97
29,36,1.204,-88
29,37,0.613,-93
29,38,1.369,-90
37,27,1.166,-95
37,29,1.122,-87
37,34,0.834,-87
34,5,0.815,-100
34,10,1.396,-89
34,24,0.719,-90
34,27,1.18,-88
34,37,0.734,-89
34,38,1.49,-73
38,9,1.036,-100
38,10,1.472,-90
38,24,0.795,-89
38,27,1.256,-89
38,30,1.081,-92
38,34,0.924,-74
38,37,0.81,-90
14,16,1.1,-85
30,12,1.709,-92
30,23,0.903,-88
30,24,0.966,-80
30,27,1.427,-76
30,38,1.737,-92
30,40,0.846,-82
24,10,1.728,-90
24,27,1.512,-70
24,30,1.337,-83
24,34,1.18,-91
24,37,1.066,-98
24,38,1.822,-91
24,40,0.931,-83
8,25,1.461,-80
8,28,1.692,-82
8,39,1.892,-92
41,12,2.007,-93
41,23,1.201,-97
41,24,1.264,-91
41,27,1.725,-87
41,29,1.681,-94
41,30,1.55,-87
41,34,1.393,-81
41,37,1.279,-84
41,38,2.035,-78
41,40,1.144,-97
29,1,1.96,-94
29,20,1.53,-99
29,21,1.436,-88
29,22,1.808,-95
29,37,1.316,-87
10,19,1.74,-97
10,24,1.399,-93
10,31,2.027,-93
10,39,2.18,-96
9,1,2.148,-79
9,5,1.585,-86
9,11,1.968,-86
9,12,2.232,-88
9,17,2.291,-91
9,35,1.647,-93
9,36,2.095,-85
5,1,2.223,-77
5,9,1.805,-81
5,12,2.307,-89
5,26,2.163,-91
5,36,2.17,-85
27,23,1.521,-94
27,24,1.584,-67
27,30,1.87,-78
27,34,1.713,-91
27,36,2.19,-94
27,38,2.355,-84
