sender_id,receiver_id,timestamp,rssi
31,4,0.519,-83
31,6,0.853,-86
31,17,1.009,-86
32,16,1.035,-87
32,22,1.055,-82
32,24,0.837,-94
32,28,0.433,-89
32,30,0.561,-85
6,2,0.545,-92
6,3,0.557,-90
6,4,0.674,-78
6,16,1.138,-94
6,31,1.193,-89
6,38,1.505,-93
11,15,0.755,-93
11,21,0.871,-85
11,28,0.539,-98
11,37,1.227,-88
26,9,0.826,-86
26,33,0.693,-85
41,22,1.217,-85
41,30,0.723,-85
41,32,1.172,-72
24,10,1.499,-86
24,16,1.204,-95
24,22,1.224,-83
24,30,0.73,-88
24,39,0.932,-91
1,19,0.932,-86
1,26,1.1,-87
1,29,1.223,-89
1,33,0.773,-92
1,35,1.393,-90
21,11,1.169,-88
21,15,0.903,-83
21,36,1.493,-87
21,37,1.375,-76
19,1,1.102,-87
19,7,1.443,-94
19,23,1.236,-93
19,29,1.309,-85
19,35,1.479,-97
9,1,1.152,-84
9,18,0.869,-100
9,23,1.286,-90
9,26,1.236,-95
9,40,0.803,-89
4,3,0.903,-88
4,6,1.354,-77
4,17,1.51,-96
4,31,1.539,-82
4,36,1.688,-96
22,10,2.066,-97
22,16,1.771,-87
22,24,1.573,-77
22,30,1.297,-82
22,32,1.746,-83
22,39,1.499,-90
30,12,2.211,-99
30,16,2.027,-89
30,22,2.047,-84
30,24,1.829,-86
30,28,1.425,-87
30,32,2.002,-89
32,7,2.269,-95
32,16,2.188,-78
32,22,2.208,-88
32,24,1.99,-89
32,30,1.714,-88
10,24,2.299,-86
10,39,2.225,-66
24,10,2.868,-89
24,12,2.757,-93
24,34,2.245,-100
24,39,2.301,-90
16,7,2.655,-92
39,10,2.963,-76
39,12,2.852,-84
39,18,2.125,-97
39,24,2.47,-86
12,10,3.015,-87
12,24,2.522,-93
12,39,2.448,-85
7,13,2.961,-94
7,16,2.79,-94
7,29,2.737,-83
7,32,2.765,-92
7,35,2.907,-94
28,3,2.308,-100
28,15,2.503,-92
28,16,2.889,-88
28,24,2.691,-97
28,30,2.415,-85
28,32,2.864,-92
28,36,3.093,-89
28,37,2.975,-95
7,32,3.064,-92
41,10,3.523,-97
41,16,3.228,-84
41,19,2.884,-96
41,22,3.248,-90
41,24,3.03,-92
41,28,2.626,-94
41,30,2.754,-81
41,32,3.203,-73
24,22,3.262,-78
34,18,2.744,-85
34,27,3.212,-68
34,39,3.015,-97
18,9,3.01,-100
18,13,3.551,-88
18,22,3.4,-99
18,23,3.254,-93
18,27,3.305,-83
18,34,3.052,-80
18,40,2.771,-85
30,6,3.265,-94
30,12,3.579,-96
30,16,3.395,-80
30,22,3.415,-82
30,24,3.197,-84
30,28,2.793,-88
30,32,3.37,-87
3,4,2.985,-84
3,6,3.319,-88
3,17,3.475,-92
3,20,2.936,-92
3,31,3.504,-84
3,38,3.816,-79
29,1,3.226,-88
29,7,3.567,-79
29,19,3.142,-85
29,20,2.973,-95
29,33,2.983,-100
15,11,3.367,-85
15,21,3.217,-95
15,28,2.885,-87
15,36,3.691,-89
15,37,3.573,-77
37,2,2.901,-94
37,11,3.374,-81
37,14,3.764,-96
37,15,3.108,-80
37,21,3.224,-77
37,36,3.698,-91
36,15,3.181,-87
36,28,2.965,-90
36,37,3.653,-84
8,17,3.606,-90
8,25,3.771,-81
8,31,3.635,-87
35,19,3.239,-88
35,20,3.07,-81
35,29,3.53,-91
12,30,3.118,-97
13,1,3.419,-97
13,9,3.309,-89
13,18,3.136,-87
13,23,3.553,-81
13,29,3.626,-96
13,40,3.07,-77
29,7,3.816,-82
24,10,4.113,-90
24,12,4.002,-95
24,16,3.818,-90
24,22,3.838,-76
24,30,3.344,-90
24,32,3.793,-92
24,39,3.546,-88
10,12,4.015,-85
10,24,3.633,-90
10,39,3.559,-74
22,16,3.964,-84
22,24,3.766,-74
22,30,3.49,-80
22,32,3.939,-90
22,37,4.05,-99
22,39,3.692,-91
32,22,4.033,-85
32,30,3.539,-87
20,3,3.458,-90
6,3,3.486,-86
6,4,3.603,-74
6,17,4.093,-99
6,20,3.554,-94
6,22,4.087,-97
6,28,3.465,-95
6,31,4.122,-90
27,18,3.53,-85
27,34,3.745,-70
14,2,3.497,-86
19,1,3.831,-81
19,7,4.172,-90
19,9,3.721,-90
19,26,3.915,-94
38,3,3.516,-79
38,6,3.967,-92
38,17,4.123,-86
38,20,3.584,-89
28,15,3.723,-91
28,16,4.109,-81
28,24,3.911,-91
28,30,3.635,-86
28,32,4.084,-93
28,36,4.313,-83
9,1,3.86,-86
9,7,4.201,-100
9,23,3.994,-84
9,26,3.944,-93
9,29,4.067,-92
2,8,3.578,-90
2,14,4.411,-88
2,25,4.332,-94
39,10,4.454,-72
39,12,4.343,-86
39,24,3.961,-88
23,1,3.908,-86
23,9,3.798,-82
23,13,4.339,-84
23,40,3.559,-87
16,6,4.079,-98
16,22,4.229,-86
16,24,4.011,-94
16,28,3.607,-86
16,29,4.156,-98
16,30,3.735,-82
16,32,4.184,-84
16,36,4.413,-91
11,5,4.32,-94
11,21,3.964,-83
11,36,4.438,-95
11,37,4.32,-78
40,1,3.977,-92
40,13,4.408,-78
40,23,4.111,-88
40,26,4.061,-96
21,11,4.12,-84
21,15,3.854,-91
21,28,3.638,-91
21,37,4.326,-76
4,2,3.675,-93
4,3,3.687,-89
4,6,4.138,-74
4,17,4.294,-90
4,31,4.323,-82
1,7,4.353,-98
1,9,3.902,-85
1,19,3.928,-87
1,23,4.146,-93
1,26,4.096,-86
1,29,4.219,-89
20,3,3.704,-89
20,29,4.232,-91
20,35,4.402,-81
20,38,4.652,-92
31,2,3.713,-96
31,3,3.725,-90
31,4,3.842,-83
31,6,4.176,-90
31,8,3.743,-94
31,17,4.332,-87
31,25,4.497,-95
31,38,4.673,-92
33,1,4.181,-94
33,19,4.097,-89
33,26,4.265,-82
17,3,3.888,-88
17,4,4.005,-94
17,6,4.339,-92
17,31,4.524,-84
39,22,4.54,-94
13,7,4.634,-100
37,5,4.674,-97
37,11,4.468,-82
37,15,4.202,-86
37,21,4.318,-79
37,36,4.792,-87
8,31,4.693,-89
8,2,4.109,-91
8,6,4.572,-96
8,25,4.893,-77
8,31,4.757,-90
12,10,5.061,-86
12,22,4.786,-95
12,39,4.494,-84
25,2,4.202,-92
25,8,4.232,-80
25,31,4.85,-94
5,11,4.681,-98
5,15,4.415,-90
26,19,4.525,-95
35,19,4.6,-86
35,20,4.431,-84
35,29,4.891,-89
35,33,4.441,-92
35,38,5.311,-91
29,7,5.062,-79
29,19,4.637,-83
29,32,4.956,-93
29,35,5.098,-91
7,1,4.759,-91
7,22,5.039,-95
7,23,4.893,-98
7,29,4.966,-78
7,35,5.136,-94
7,40,4.41,-91
11,37,5.111,-80
26,1,4.786,-87
26,19,4.702,-93
26,33,4.543,-81
18,10,5.365,-92
18,13,5.241,-91
18,27,4.995,-83
18,34,4.742,-83
13,23,5.081,-92
13,29,5.154,-100
13,40,4.598,-74
15,28,4.647,-93
