sender_id,receiver_id,timestamp,rssi
41,3,0.075,-92
41,4,0.818,-81
41,15,0.031,-95
41,19,0.337,-90
41,20,0.806,-88
41,26,0.516,-84
41,30,0.285,-94
41,33,0.212,-89
41,35,0.759,-92
41,36,0.037,-90
41,38,0.338,-79
41,39,0.433,-63
10,40,0.126,-90
27,22,0.63,-83
31,1,0.736,-88
31,15,0.277,-95
31,26,0.762,-80
31,29,0.967,-97
31,35,1.005,-73
31,38,0.584,-90
31,39,0.679,-89
31,40,0.31,-94
24,8,1.118,-87
29,9,1.03,-95
11,2,0.717,-92
11,25,0.712,-84
16,2,0.789,-88
16,13,1.023,-82
16,25,0.784,-89
16,30,0.692,-89
16,33,0.619,-89
16,34,0.792,-91
16,37,1.017,-89
16,39,0.84,-96
28,6,1.109,-80
28,7,0.938,-84
28,15,0.468,-93
28,17,0.852,-81
28,18,1.165,-84
28,40,0.501,-96
3,4,1.427,-83
3,7,1.11,-88
3,12,1.197,-92
3,15,0.64,-83
3,16,1.241,-100
3,18,1.337,-96
3,19,0.946,-86
3,20,1.415,-59
3,28,1.184,-95
3,30,0.894,-96
3,34,0.994,-97
3,38,0.947,-76
3,39,1.042,-89
3,40,0.673,-90
17,5,1.143,-94
17,6,1.3,-56
17,7,1.129,-83
17,15,0.659,-93
17,18,1.356,-65
17,28,1.203,-80
17,32,1.268,-93
25,2,1.032,-92
25,11,1.357,-87
25,13,1.266,-89
25,16,1.282,-82
2,4,1.471,-100
2,13,1.269,-86
2,16,1.285,-87
2,25,1.03,-89
2,30,0.938,-95
2,34,1.038,-87
20,3,0.742,-57
20,4,1.485,-84
20,7,1.168,-93
20,12,1.255,-90
20,15,0.698,-86
20,19,1.004,-89
20,30,0.952,-88
20,38,1.005,-73
20,39,1.1,-91
20,40,0.731,-100
38,3,0.768,-72
38,4,1.511,-79
38,15,0.724,-88
38,19,1.03,-82
38,20,1.499,-71
38,26,1.209,-93
38,28,1.268,-95
38,30,0.978,-95
38,35,1.452,-93
38,39,1.126,-86
35,1,1.229,-85
35,3,0.814,-92
35,26,1.255,-93
35,31,1.517,-74
19,7,1.309,-89
19,12,1.396,-89
19,13,1.424,-87
19,15,0.839,-93
19,20,1.614,-86
19,26,1.324,-95
19,34,1.193,-91
19,38,1.146,-84
33,16,1.441,-92
33,37,1.419,-71
26,1,1.327,-87
26,3,0.912,-92
26,15,0.868,-93
26,21,1.728,-95
26,22,1.28,-100
26,29,1.558,-92
26,31,1.615,-92
26,35,1.596,-92
26,36,0.874,-92
26,39,1.27,-83
4,3,0.927,-95
4,7,1.353,-95
4,12,1.44,-98
4,19,1.189,-86
4,20,1.658,-87
4,30,1.137,-88
4,34,1.237,-95
4,38,1.19,-81
4,39,1.285,-85
15,3,0.945,-84
15,4,1.688,-98
15,7,1.371,-88
15,20,1.676,-89
15,28,1.445,-96
15,31,1.648,-91
15,38,1.208,-87
15,40,0.934,-88
39,3,0.995,-89
39,4,1.738,-84
39,15,0.951,-89
39,20,1.726,-89
39,26,1.436,-87
39,31,1.698,-89
39,35,1.679,-91
39,36,0.957,-87
39,37,1.53,-96
39,38,1.258,-88
30,1,1.434,-98
30,3,1.019,-89
30,4,1.762,-86
30,7,1.445,-97
30,13,1.56,-88
30,19,1.281,-80
