sender_id,receiver_id,timestamp,rssi
41,8,0.705,-83
41,11,0.852,-93
41,38,0.95,-94
14,11,1.043,-88
14,19,1.16,-97
14,31,0.808,-79
14,38,1.141,-93
14,40,0.718,-93
22,14,1.047,-95
22,31,0.836,-83
22,40,0.746,-96
20,10,0.619,-81
20,19,1.255,-90
20,21,0.54,-90
20,23,1.201,-89
20,32,0.387,-86
20,36,0.573,-81
20,39,0.444,-90
30,4,0.76,-87
30,7,0.753,-77
30,17,0.916,-97
30,27,0.77,-86
30,28,0.62,-94
12,1,0.841,-93
12,5,0.353,-94
12,6,0.589,-85
12,13,0.763,-91
12,15,0.319,-85
18,1,0.882,-91
18,2,0.516,-83
18,8,1.074,-92
18,25,0.472,-81
17,8,1.105,-89
17,35,0.542,-91
1,5,0.551,-80
1,7,0.982,-94
1,13,0.961,-81
1,17,1.145,-94
1,18,1.178,-87
1,26,0.818,-75
1,29,0.914,-94
38,11,1.416,-85
38,36,0.851,-100
37,8,1.322,-97
37,17,1.236,-89
37,19,1.586,-92
37,33,1.54,-80
37,35,0.759,-81
37,39,0.775,-87
29,5,0.644,-100
29,12,1.3,-90
29,15,0.61,-82
29,18,1.271,-94
28,4,1.144,-78
28,9,1.11,-94
28,30,1.424,-94
10,19,1.676,-92
10,20,1.442,-83
10,21,0.961,-85
10,23,1.622,-59
10,39,0.865,-90
10,40,1.234,-91
8,18,1.426,-89
8,25,0.877,-78
11,14,1.673,-85
11,19,1.814,-90
11,31,1.462,-90
11,36,1.132,-92
11,39,1.003,-98
11,40,1.372,-98
35,9,1.299,-87
35,17,1.489,-88
35,32,0.971,-91
35,33,1.793,-80
35,36,1.157,-95
35,37,1.268,-76
35,39,1.028,-92
2,18,1.54,-81
2,25,0.991,-84
2,29,1.276,-85
32,20,1.665,-82
32,33,1.853,-91
32,39,1.088,-82
5,1,1.523,-82
5,12,1.691,-97
5,13,1.445,-65
5,26,1.302,-75
5,28,1.333,-99
15,12,1.728,-92
15,16,1.415,-100
15,29,1.435,-76
41,19,2.088,-90
41,38,2.069,-89
36,10,1.685,-91
36,11,2.204,-92
36,19,2.321,-78
36,20,2.087,-83
36,31,1.969,-92
36,37,1.75,-92
36,39,1.51,-86
36,40,1.879,-95
40,14,2.222,-97
40,21,1.648,-57
40,22,2.192,-90
40,23,2.309,-87
40,31,2.011,-89
40,36,1.681,-93
25,2,1.558,-90
25,8,2.116,-78
25,18,2.063,-84
25,38,2.361,-100
19,11,2.317,-97
19,21,1.719,-92
19,35,1.607,-99
19,36,1.752,-78
31,10,1.819,-92
31,11,2.338,-90
31,14,2.314,-87
31,21,1.74,-93
31,22,2.284,-86
31,36,1.773,-93
31,40,2.013,-91
39,9,2.005,-97
39,19,2.545,-85
39,20,2.311,-86
39,32,1.677,-87
39,33,2.499,-81
39,36,1.863,-90
18,2,1.885,-87
18,6,1.999,-100
18,7,2.194,-100
18,8,2.443,-92
18,12,2.419,-98
18,16,2.106,-99
18,25,1.841,-80
18,26,2.03,-94
18,29,2.126,-87
14,11,2.627,-77
14,22,2.573,-95
14,31,2.392,-77
14,38,2.725,-92
14,39,1.933,-96
37,9,2.335,-87
37,17,2.525,-90
37,27,2.379,-93
37,33,2.829,-89
37,35,2.048,-87
20,10,2.241,-85
20,23,2.823,-87
20,32,2.009,-85
20,40,2.435,-95
10,36,2.204,-95
2,1,2.471,-95
2,8,2.663,-94
2,13,2.393,-94
2,18,2.61,-87
2,25,2.061,-84
21,10,2.444,-87
21,22,2.909,-93
21,40,2.638,-64
22,24,2.462,-91
23,10,2.504,-68
23,19,3.14,-96
23,20,2.906,-86
23,21,2.425,-83
23,32,2.272,-87
9,17,2.837,-90
9,27,2.691,-88
