sender_id,receiver_id,timestamp,rssi
14,1,0.996,-95
14,13,0.372,-80
14,17,0.512,-100
14,22,0.525,-89
14,37,0.087,-91
14,38,0.986,-88
27,2,0.689,-93
27,11,0.594,-65
27,16,0.697,-85
27,20,0.439,-90
27,31,0.397,-94
27,33,0.239,-76
27,36,0.131,-83
15,1,1.162,-93
15,6,0.471,-89
15,12,0.571,-86
15,14,1.189,-95
15,28,0.271,-86
15,29,0.386,-92
15,32,1.066,-83
15,36,0.24,-97
15,38,1.152,-93
41,1,1.277,-84
41,12,0.686,-85
41,13,0.653,-93
41,14,1.304,-98
41,15,1.144,-84
41,19,0.454,-91
41,22,0.806,-84
41,28,0.386,-84
41,29,0.501,-85
41,32,1.181,-91
41,38,1.267,-90
34,4,0.621,-84
34,19,0.531,-100
34,29,0.578,-99
34,30,0.443,-95
34,32,1.258,-92
2,10,1.392,-93
2,25,0.551,-83
2,27,1.378,-90
2,31,0.74,-85
2,36,0.474,-91
7,24,0.829,-84
7,40,1.402,-78
24,7,1.22,-85
24,23,1.19,-94
20,6,0.951,-94
20,11,1.183,-93
20,12,1.051,-91
20,15,1.509,-87
20,27,1.624,-91
20,28,0.751,-91
20,32,1.546,-85
20,33,0.828,-91
20,36,0.72,-89
26,4,0.911,-76
26,31,0.988,-93
26,34,1.3,-84
31,2,1.302,-90
31,10,1.662,-90
31,11,1.207,-91
31,16,1.31,-85
31,33,0.852,-94
31,36,0.744,-83
8,3,0.778,-81
8,6,0.978,-92
4,26,1.16,-80
4,34,1.427,-96
12,1,1.839,-92
12,15,1.706,-80
12,16,1.483,-87
12,19,1.016,-95
12,20,1.225,-90
12,28,0.948,-87
12,32,1.743,-74
12,38,1.829,-93
19,1,1.896,-75
19,9,1.271,-85
19,13,1.272,-95
19,17,1.412,-94
19,22,1.425,-85
19,28,1.005,-87
19,29,1.12,-74
19,38,1.886,-76
30,9,1.298,-84
30,19,1.1,-94
30,34,1.579,-93
1,6,1.245,-96
1,9,1.311,-90
1,12,1.345,-97
1,17,1.452,-90
1,19,1.113,-75
1,22,1.465,-74
1,28,1.045,-87
