sender_id,receiver_id,timestamp,rssi
41,3,0.238,-59
41,8,0.677,-92
41,11,0.782,-84
41,15,0.671,-84
41,20,0.489,-86
41,22,0.921,-91
41,25,0.227,-87
41,29,0.04,-90
12,10,0.713,-81
12,15,0.81,-100
12,30,0.109,-79
12,37,0.832,-87
31,1,0.935,-82
38,1,0.98,-90
38,8,0.942,-94
38,12,1.17,-97
38,24,0.86,-90
38,25,0.492,-88
6,22,1.187,-95
6,39,1.011,-82
6,40,0.215,-97
18,24,0.865,-98
39,3,0.508,-100
39,6,1.008,-86
13,14,0.666,-88
13,36,0.966,-88
37,10,0.924,-90
37,12,1.255,-88
37,25,0.577,-92
37,30,0.32,-80
35,17,0.677,-84
35,19,0.586,-86
35,23,0.539,-79
35,26,1.2,-83
35,27,0.565,-89
35,32,1.128,-72
35,33,0.397,-83
10,12,1.353,-81
10,30,0.418,-82
10,37,1.141,-86
10,38,1.22,-91
20,39,1.321,-98
29,3,0.82,-88
29,4,0.771,-93
29,5,0.863,-98
29,8,1.259,-89
29,11,1.364,-88
29,15,1.253,-84
29,19,0.756,-100
29,22,1.503,-90
29,23,0.709,-90
29,26,1.37,-92
29,27,0.735,-96
29,34,0.591,-84
11,2,0.881,-87
11,3,0.905,-87
11,4,0.856,-91
11,20,1.156,-97
11,22,1.588,-87
11,29,0.707,-91
11,34,0.676,-88
11,40,0.616,-89
22,2,0.907,-88
22,3,0.931,-95
22,11,1.475,-84
22,15,1.364,-93
22,40,0.642,-67
14,2,0.92,-83
14,4,0.895,-91
14,5,0.987,-90
14,13,1.365,-88
14,36,1.327,-66
15,7,0.755,-92
15,8,1.418,-81
15,17,1.006,-90
15,20,1.23,-97
15,25,0.968,-85
15,26,1.529,-88
15,29,0.781,-86
8,1,1.468,-87
8,11,1.535,-99
8,15,1.424,-78
8,17,1.018,-85
8,26,1.541,-79
8,29,0.793,-89
8,38,1.525,-95
3,8,1.434,-94
3,11,1.539,-88
3,15,1.428,-85
3,20,1.246,-85
3,25,0.984,-89
3,27,0.91,-100
3,34,0.766,-94
3,38,1.529,-96
2,11,1.554,-85
25,3,1.251,-96
25,8,1.69,-89
25,15,1.684,-94
25,20,1.502,-90
25,24,1.608,-83
25,38,1.785,-90
30,10,1.617,-79
30,12,1.948,-85
30,37,1.736,-80
4,29,1.086,-95
33,17,1.321,-93
33,23,1.183,-88
33,26,1.844,-89
33,32,1.772,-81
5,2,1.361,-87
5,4,1.336,-78
5,7,1.161,-89
5,11,1.929,-96
5,34,1.156,-87
5,36,1.768,-87
40,11,1.986,-90
26,1,1.924,-88
26,5,1.49,-93
26,8,1.886,-81
26,15,1.88,-86
26,17,1.474,-80
26,23,1.336,-81
26,29,1.249,-89
26,32,1.925,-94
26,35,1.813,-96
27,7,1.281,-83
27,17,1.532,-89
27,19,1.441,-57
27,23,1.394,-83
27,29,1.307,-93
27,32,1.983,-84
27,34,1.276,-90
27,35,1.871,-86
23,7,1.33,-93
23,17,1.581,-86
23,19,1.49,-92
23,26,2.104,-89
23,27,1.469,-82
23,32,2.032,-85
23,33,1.301,-87
23,35,1.92,-77
4,2,1.583,-92
4,5,1.65,-81
4,7,1.383,-81
4,14,1.69,-89
4,19,1.543,-89
4,26,2.157,-92
4,27,1.522,-91
4,29,1.409,-91
4,34,1.378,-86
4,35,1.973,-97
4,36,1.99,-94
39,6,2.133,-86
39,18,2.139,-98
39,20,1.884,-91
39,22,2.316,-95
39,28,1.516,-90
19,4,1.659,-85
19,7,1.484,-90
19,23,1.597,-84
19,26,2.258,-93
19,27,1.623,-61
19,32,2.186,-83
19,35,2.074,-83
40,2,1.696,-85
40,3,1.72,-92
40,5,1.763,-92
40,6,2.22,-86
40,7,1.496,-98
40,11,2.264,-86
40,13,2.141,-98
40,22,2.403,-72
38,10,2.061,-88
38,15,2.158,-94
38,25,1.714,-83
38,34,1.496,-97
1,8,2.19,-86
1,23,1.64,-95
1,26,2.301,-88
1,31,2.31,-82
1,38,2.285,-98
34,3,1.773,-89
34,4,1.724,-91
34,5,1.816,-89
34,7,1.549,-82
34,8,2.212,-93
34,11,2.317,-85
34,15,2.206,-88
34,19,1.709,-89
34,24,2.13,-100
34,27,1.688,-93
34,29,1.575,-82
34,33,1.52,-98
34,40,1.484,-95
17,15,2.237,-89
26,29,1.661,-87
2,11,2.417,-92
2,14,1.956,-84
2,22,2.556,-88
2,36,2.256,-87
2,40,1.584,-86
17,8,2.349,-85
17,15,2.343,-83
17,23,1.799,-87
17,26,2.46,-72
